类别,precision,recall,f1-score,support,accuracy
哈密瓜,0.8823529411764706,0.8108108108108109,0.8450704225352113,37.0,0.8108108108108109
圣女果,0.9230769230769231,0.631578947368421,0.7499999999999999,38.0,0.631578947368421
山竹,1.0,0.8285714285714286,0.90625,35.0,0.8285714285714286
杨梅,0.8611111111111112,0.8378378378378378,0.8493150684931507,37.0,0.8378378378378378
柚子,0.7368421052631579,0.7567567567567568,0.7466666666666667,37.0,0.7567567567567568
柠檬,0.8,0.8275862068965517,0.8135593220338982,29.0,0.8275862068965517
桂圆,0.76,1.0,0.8636363636363636,38.0,1.0
梨,0.8285714285714286,0.7837837837837838,0.8055555555555555,37.0,0.7837837837837838
椰子,0.918918918918919,0.8947368421052632,0.9066666666666667,38.0,0.8947368421052632
榴莲,0.9354838709677419,0.8055555555555556,0.8656716417910448,36.0,0.8055555555555556
火龙果,1.0,0.9166666666666666,0.9565217391304348,36.0,0.9166666666666666
猕猴桃,0.9696969696969697,0.8648648648648649,0.9142857142857143,37.0,0.8648648648648649
石榴,0.8421052631578947,0.8648648648648649,0.8533333333333334,37.0,0.8648648648648649
砂糖橘,0.8055555555555556,0.8285714285714286,0.8169014084507044,35.0,0.8285714285714286
胡萝卜,0.9142857142857143,0.8888888888888888,0.9014084507042254,36.0,0.8888888888888888
脐橙,0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0,0.7297297297297297
芒果,0.7714285714285715,0.8181818181818182,0.7941176470588236,33.0,0.8181818181818182
苦瓜,1.0,0.7714285714285715,0.870967741935484,35.0,0.7714285714285715
苹果-红,0.9117647058823529,0.8857142857142857,0.8985507246376812,35.0,0.8857142857142857
苹果-青,0.8372093023255814,0.972972972972973,0.9,37.0,0.972972972972973
草莓,0.9210526315789473,0.9210526315789473,0.9210526315789473,38.0,0.9210526315789473
荔枝,0.8536585365853658,0.9210526315789473,0.8860759493670887,38.0,0.9210526315789473
菠萝,0.967741935483871,0.8108108108108109,0.8823529411764706,37.0,0.8108108108108109
葡萄-白,0.9375,0.967741935483871,0.9523809523809523,31.0,0.967741935483871
葡萄-红,0.7659574468085106,0.9473684210526315,0.8470588235294116,38.0,0.9473684210526315
西瓜,0.8333333333333334,0.9459459459459459,0.8860759493670887,37.0,0.9459459459459459
西红柿,0.717391304347826,0.9166666666666666,0.8048780487804877,36.0,0.9166666666666666
车厘子,1.0,0.84375,0.9152542372881356,32.0,0.84375
香蕉,0.9705882352941176,0.9166666666666666,0.9428571428571428,36.0,0.9166666666666666
黄瓜,0.7608695652173914,1.0,0.8641975308641976,35.0,1.0
macro avg,0.8740204672375526,0.8636719323784996,0.8640408684795524,1078.0,0.8636719323784996
weighted avg,0.8735626530860222,0.8636363636363636,0.8637284606185615,1078.0,0.8636363636363638
